[ElemE 0]
POI_BUF: 
      0      0      0        0        0
      3      3      0     0.75      0.5
      4      4      0     0.75      0.5
      5      5      1     0.75    0.501
      6      6      1     0.75    0.501
      7      7      0     0.75     0.75
      8      8      0      0.5     0.75
      9      9      1    0.501     0.75
     10     10      1    0.501     0.75
     11     11      0     0.75     0.75
     12     12      0      0.5      0.5
     13     13      1      0.5    0.501
     14     14      1      0.5    0.501
     15     15      0      0.5     0.75
     16     16      1      0.5    0.501
     17     17      2    0.501    0.501
     18     18      2    0.501    0.501
     19     19      1    0.501      0.5
     20     20      1     0.75    0.501
     21     21      2    0.501    0.501
     22     22      2    0.501    0.501
     23     23      1    0.501      0.5
     24     24      1     0.75    0.501
     25     25      2    0.501    0.501
     26     26      2    0.501    0.501
     27     27      1    0.501     0.75
     28     28      1      0.5    0.501
     29     29      2    0.501    0.501
     30     30      2    0.501    0.501
     31     31      1    0.501     0.75
[ElemE 11]
POI_BUF: 
      0      0      0     0.75      0.5
      1      1      1    0.751      0.5
      2      2      1    0.751      0.5
      3      3      0        1      0.5
      4      4      0        1      0.5
      5      5      1        1    0.501
      6      6      1        1    0.501
      7      7      0        1     0.75
      8      8      0     0.75     0.75
      9      9      1    0.751     0.75
     10     10      1    0.751     0.75
     11     11      0        1     0.75
     12     12      0     0.75      0.5
     13     13      1     0.75    0.501
     14     14      1     0.75    0.501
     15     15      0     0.75     0.75
     16     16      1     0.75    0.501
     17     17      2    0.751    0.501
     18     18      2    0.751    0.501
     19     19      1    0.751      0.5
     20     20      1        1    0.501
     21     21      2    0.751    0.501
     22     22      2    0.751    0.501
     23     23      1    0.751      0.5
     24     24      1        1    0.501
     25     25      2    0.751    0.501
     26     26      2    0.751    0.501
     27     27      1    0.751     0.75
     28     28      1     0.75    0.501
     29     29      2    0.751    0.501
     30     30      2    0.751    0.501
     31     31      1    0.751     0.75
[ElemE 12]
POI_BUF: 
      0      0      0        0     0.75
      1      1      1    0.001     0.75
      2      2      1    0.001     0.75
      3      3      0     0.25     0.75
      4      4      0     0.25     0.75
      5      5      1     0.25    0.751
      6      6      1     0.25    0.751
      7      7      0     0.25        1
      8      8      0        0        1
      9      9      1    0.001        1
     10     10      1    0.001        1
     11     11      0     0.25        1
     12     12      0        0     0.75
     13     13      1        0    0.751
     14     14      1        0    0.751
     15     15      0        0        1
     16     16      1        0    0.751
     17     17      2    0.001    0.751
     18     18      2    0.001    0.751
     19     19      1    0.001     0.75
     20     20      1     0.25    0.751
     21     21      2    0.001    0.751
     22     22      2    0.001    0.751
     23     23      1    0.001     0.75
     24     24      1     0.25    0.751
     25     25      2    0.001    0.751
     26     26      2    0.001    0.751
     27     27      1    0.001        1
     28     28      1        0    0.751
     29     29      2    0.001    0.751
     30     30      2    0.001    0.751
     31     31      1    0.001        1
[ElemE 13]
POI_BUF: 
      0      0      0     0.25     0.75
      1      1      1    0.251     0.75
      2      2      1    0.251     0.75
      3      3      0      0.5     0.75
      4      4      0      0.5     0.75
      5      5      1      0.5    0.751
      6      6      1      0.5    0.751
      7      7      0      0.5        1
      8      8      0     0.25        1
      9      9      1    0.251        1
     10     10      1    0.251        1
     11     11      0      0.5        1
     12     12      0     0.25     0.75
     13     13      1     0.25    0.751
     14     14      1     0.25    0.751
     15     15      0     0.25        1
     16     16      1     0.25    0.751
     17     17      2    0.251    0.751
     18     18      2    0.251    0.751
     19     19      1    0.251     0.75
     20     20      1      0.5    0.751
     21     21      2    0.251    0.751
     22     22      2    0.251    0.751
     23     23      1    0.251     0.75
     24     24      1      0.5    0.751
     25     25      2    0.251    0.751
     26     26      2    0.251    0.751
     27     27      1    0.251        1
     28     28      1     0.25    0.751
     29     29      2    0.251    0.751
     30     30      2    0.251    0.751
     31     31      1    0.251        1
[ElemE 14]
POI_BUF: 
      0      0      0      0.5     0.75
      1      1      1    0.501     0.75
      2      2      1    0.501     0.75
      3      3      0     0.75     0.75
      4      4      0     0.75     0.75
      5      5      1     0.75    0.751
      6      6      1     0.75    0.751
      7      7      0     0.75        1
      8      8      0      0.5        1
      9      9      1    0.501        1
     10     10      1    0.501        1
     11     11      0     0.75        1
     12     12      0      0.5     0.75
     13     13      1      0.5    0.751
     14     14      1      0.5    0.751
     15     15      0      0.5        1
     16     16      1      0.5    0.751
     17     17      2    0.501    0.751
     18     18      2    0.501    0.751
     19     19      1    0.501     0.75
     20     20      1     0.75    0.751
     21     21      2    0.501    0.751
     22     22      2    0.501    0.751
     23     23      1    0.501     0.75
     24     24      1     0.75    0.751
     25     25      2    0.501    0.751
     26     26      2    0.501    0.751
     27     27      1    0.501        1
     28     28      1      0.5    0.751
     29     29      2    0.501    0.751
     30     30      2    0.501    0.751
     31     31      1    0.501        1
[ElemE 15]
POI_BUF: 
      0      0      0     0.75     0.75
      1      1      1    0.751     0.75
      2      2      1    0.751     0.75
      3      3      0        1     0.75
      4      4      0        1     0.75
      5      5      1        1    0.751
      6      6      1        1    0.751
      7      7      0        1        1
      8      8      0     0.75        1
      9      9      1    0.751        1
     10     10      1    0.751        1
     11     11      0        1        1
     12     12      0     0.75     0.75
     13     13      1     0.75    0.751
     14     14      1     0.75    0.751
     15     15      0     0.75        1
     16     16      1     0.75    0.751
     17     17      2    0.751    0.751
     18     18      2    0.751    0.751
     19     19      1    0.751     0.75
     20     20      1        1    0.751
     21     21      2    0.751    0.751
     22     22      2    0.751    0.751
     23     23      1    0.751     0.75
     24     24      1        1    0.751
     25     25      2    0.751    0.751
     26     26      2    0.751    0.751
     27     27      1    0.751        1
     28     28      1     0.75    0.751
     29     29      2    0.751    0.751
     30     30      2    0.751    0.751
     31     31      1    0.751        1
