[ElemE 0]
SUB_BUF: 
SUB_BUF: 
      0     44      0.5    0.626      0.5    0.626
      1     44    0.501    0.626    0.501    0.626
      2     44    0.501     0.75    0.501     0.75
      3     44      0.5     0.75      0.5     0.75
[ElemE 45]
SUB_BUF: 
      0     45    0.625    0.626    0.625    0.626
      1     45    0.626    0.626    0.626    0.626
      2     45    0.626     0.75    0.626     0.75
      3     45    0.625     0.75    0.625     0.75
[ElemE 46]
SUB_BUF: 
      0     46     0.75    0.626     0.75    0.626
      1     46    0.751    0.626    0.751    0.626
      2     46    0.751     0.75    0.751     0.75
      3     46     0.75     0.75     0.75     0.75
[ElemE 47]
SUB_BUF: 
      0     47    0.875    0.626    0.875    0.626
      1     47    0.876    0.626    0.876    0.626
      2     47    0.876     0.75    0.876     0.75
      3     47    0.875     0.75    0.875     0.75
[ElemE 48]
SUB_BUF: 
      0     48        0    0.751        0    0.751
      1     48    0.001    0.751    0.001    0.751
      2     48    0.001    0.875    0.001    0.875
      3     48        0    0.875        0    0.875
[ElemE 49]
SUB_BUF: 
      0     49    0.125    0.751    0.125    0.751
      1     49    0.126    0.751    0.126    0.751
      2     49    0.126    0.875    0.126    0.875
      3     49    0.125    0.875    0.125    0.875
[ElemE 50]
SUB_BUF: 
      0     50     0.25    0.751     0.25    0.751
      1     50    0.251    0.751    0.251    0.751
      2     50    0.251    0.875    0.251    0.875
      3     50     0.25    0.875     0.25    0.875
[ElemE 51]
SUB_BUF: 
      0     51    0.375    0.751    0.375    0.751
      1     51    0.376    0.751    0.376    0.751
      2     51    0.376    0.875    0.376    0.875
      3     51    0.375    0.875    0.375    0.875
[ElemE 52]
SUB_BUF: 
      0     52      0.5    0.751      0.5    0.751
      1     52    0.501    0.751    0.501    0.751
      2     52    0.501    0.875    0.501    0.875
      3     52      0.5    0.875      0.5    0.875
[ElemE 53]
SUB_BUF: 
      0     53    0.625    0.751    0.625    0.751
      1     53    0.626    0.751    0.626    0.751
      2     53    0.626    0.875    0.626    0.875
      3     53    0.625    0.875    0.625    0.875
[ElemE 54]
SUB_BUF: 
      0     54     0.75    0.751     0.75    0.751
      1     54    0.751    0.751    0.751    0.751
      2     54    0.751    0.875    0.751    0.875
      3     54     0.75    0.875     0.75    0.875
[ElemE 55]
SUB_BUF: 
      0     55    0.875    0.751    0.875    0.751
      1     55    0.876    0.751    0.876    0.751
      2     55    0.876    0.875    0.876    0.875
      3     55    0.875    0.875    0.875    0.875
[ElemE 56]
SUB_BUF: 
      0     56        0    0.876        0    0.876
      1     56    0.001    0.876    0.001    0.876
      2     56    0.001        1    0.001        1
      3     56        0        1        0        1
[ElemE 57]
SUB_BUF: 
      0     57    0.125    0.876    0.125    0.876
      1     57    0.126    0.876    0.126    0.876
      2     57    0.126        1    0.126        1
      3     57    0.125        1    0.125        1
[ElemE 58]
SUB_BUF: 
      0     58     0.25    0.876     0.25    0.876
      1     58    0.251    0.876    0.251    0.876
      2     58    0.251        1    0.251        1
      3     58     0.25        1     0.25        1
[ElemE 59]
SUB_BUF: 
      0     59    0.375    0.876    0.375    0.876
      1     59    0.376    0.876    0.376    0.876
      2     59    0.376        1    0.376        1
      3     59    0.375        1    0.375        1
[ElemE 60]
SUB_BUF: 
      0     60      0.5    0.876      0.5    0.876
      1     60    0.501    0.876    0.501    0.876
      2     60    0.501        1    0.501        1
      3     60      0.5        1      0.5        1
[ElemE 61]
SUB_BUF: 
      0     61    0.625    0.876    0.625    0.876
      1     61    0.626    0.876    0.626    0.876
      2     61    0.626        1    0.626        1
      3     61    0.625        1    0.625        1
[ElemE 62]
SUB_BUF: 
      0     62     0.75    0.876     0.75    0.876
      1     62    0.751    0.876    0.751    0.876
      2     62    0.751        1    0.751        1
      3     62     0.75        1     0.75        1
[ElemE 63]
SUB_BUF: 
      0     63    0.875    0.876    0.875    0.876
      1     63    0.876    0.876    0.876    0.876
      2     63    0.876        1    0.876        1
      3     63    0.875        1    0.875        1
